,Support_Importance_0,Support_Coefficient_0,ADC_Importance_0,ADC_Coefficient_0,Middle_Importance_0,Middle_Coefficient_0,Jungle_Importance_0,Jungle_Coefficient_0,Top_Importance_0,Top_Coefficient_0,Support_Importance_1,Support_Coefficient_1,ADC_Importance_1,ADC_Coefficient_1,Middle_Importance_1,Middle_Coefficient_1,Jungle_Importance_1,Jungle_Coefficient_1,Top_Importance_1,Top_Coefficient_1,Support_Importance_2,Support_Coefficient_2,ADC_Importance_2,ADC_Coefficient_2,Middle_Importance_2,Middle_Coefficient_2,Jungle_Importance_2,Jungle_Coefficient_2,Top_Importance_2,Top_Coefficient_2,Support_Importance_3,Support_Coefficient_3,ADC_Importance_3,ADC_Coefficient_3,Middle_Importance_3,Middle_Coefficient_3,Jungle_Importance_3,Jungle_Coefficient_3,Top_Importance_3,Top_Coefficient_3,Support_Importance_4,Support_Coefficient_4,ADC_Importance_4,ADC_Coefficient_4,Middle_Importance_4,Middle_Coefficient_4,Jungle_Importance_4,Jungle_Coefficient_4,Top_Importance_4,Top_Coefficient_4,Support_Importance_5,Support_Coefficient_5,ADC_Importance_5,ADC_Coefficient_5,Middle_Importance_5,Middle_Coefficient_5,Jungle_Importance_5,Jungle_Coefficient_5,Top_Importance_5,Top_Coefficient_5,Support_Importance_6,Support_Coefficient_6,ADC_Importance_6,ADC_Coefficient_6,Middle_Importance_6,Middle_Coefficient_6,Jungle_Importance_6,Jungle_Coefficient_6,Top_Importance_6,Top_Coefficient_6,Support_Importance_7,Support_Coefficient_7,ADC_Importance_7,ADC_Coefficient_7,Middle_Importance_7,Middle_Coefficient_7,Jungle_Importance_7,Jungle_Coefficient_7,Top_Importance_7,Top_Coefficient_7,Support_Importance_8,Support_Coefficient_8,ADC_Importance_8,ADC_Coefficient_8,Middle_Importance_8,Middle_Coefficient_8,Jungle_Importance_8,Jungle_Coefficient_8,Top_Importance_8,Top_Coefficient_8,Support_Importance_9,Support_Coefficient_9,ADC_Importance_9,ADC_Coefficient_9,Middle_Importance_9,Middle_Coefficient_9,Jungle_Importance_9,Jungle_Coefficient_9,Top_Importance_9,Top_Coefficient_9,Support_Avg_Coefficient,ADC_Avg_Coefficient,Middle_Avg_Coefficient,Jungle_Avg_Coefficient,Top_Avg_Coefficient,Support_Avg_Importance,ADC_Avg_Importance,Middle_Avg_Importance,Jungle_Avg_Importance,Top_Avg_Importance
EGPM,0.5914394097122122,9.525662730105779,0.20173263492543492,22.819548149304527,0.040858363306952146,18.50525676830624,0.19594296449152285,14.137013892391847,0.21519817773577793,13.815923237582759,0.6003266181605521,6.558844428124913,0.20042503535994421,22.137597133266347,0.043193702525308006,18.163052639674593,0.19912755671080823,15.679063195782673,0.20728520512456544,15.449876328082619,0.5921697587678872,8.854712132509807,0.2090366436607161,17.550539864657846,0.04220532731371603,19.104880490787444,0.21877094698161278,13.772230756444422,0.20697059318788605,9.649632006479209,0.5925458620544355,8.177602134798503,0.19252085533103455,21.573456183270086,0.04201138727247873,16.304598512238297,0.20880271822223212,15.638876404917427,0.20775456977404033,14.572509055334118,0.5930854836244104,9.418075118320127,0.19243556174561202,24.816334103890586,0.040528081166677776,18.15843426397816,0.2184489101758562,13.923628039052288,0.21490389480071895,14.244951426470983,0.5913972958158487,8.772544860417677,0.20579899916930763,24.85146546912643,0.03940749720045027,16.66749236662413,0.2139536531730715,14.486829363086404,0.2090371092952209,13.180109245422406,0.5932556482000276,8.405053325449225,0.19370859248616726,20.47878443771379,0.040641409028149486,17.561555028209515,0.19374685612341816,15.324676409155447,0.20055761139110834,10.83904563366432,0.5920352363726898,11.881240241890668,0.1988978824729806,23.637006883217584,0.0398687925720899,19.13062820179729,0.21574004335916575,15.955879219872878,0.20860259294311193,13.766362951194706,0.59883390405006,8.855251637220793,0.19876225077934961,23.652628525084577,0.03849229722693615,15.441749944112772,0.22053191939453526,14.469959488304827,0.2091438291862135,15.11033727230211,0.5933211429369034,10.90164401171209,0.18294759809447403,23.8298476230062,0.04246021432105705,16.97466201602192,0.21230634883719537,15.267160174506186,0.20698713131060964,15.125042002223404,9.135063062054957,22.534720837253797,17.601231023175036,14.865531694351441,13.575378915875664,0.5938410359695027,0.19762660540250207,0.040966707193381566,0.2097371917469418,0.2086440714749253
A,0.18647999618626276,11.344389601884265,0.06768136239972063,3.897026777628492,0.29139821652539644,7.579062993164228,0.4344887500727306,6.080659642042518,0.33010461775523225,6.113103237829838,0.1772268227186924,13.694556471733144,0.06781295041601679,6.028309075733884,0.28122394192217853,5.295111875720672,0.43433816447490753,5.519182984401691,0.3495803353560207,6.589659575788283,0.18264114331647205,10.447656604450039,0.07649105150193553,9.532954292387561,0.2675863224120452,3.287703637456819,0.4227257953915969,7.818503702017588,0.33354629707772554,11.591447289019113,0.180316686741511,9.159546100130475,0.0736820401851519,5.010638002626271,0.2822650496512692,3.65070326020173,0.4321322338747264,5.381261383492755,0.34543119020175406,6.445011209605461,0.182049903179826,10.25833995889286,0.07595446494943736,5.794067000146321,0.2667691672158453,4.256394078544478,0.4209159151648669,6.876977974932406,0.34018279084711467,5.792754946943001,0.1828065761078526,10.685128259574387,0.07072813721429892,3.7552209506538436,0.2797097473987424,2.3040137246068557,0.4232091621432363,7.379325498829981,0.33514203317403923,5.794792190873038,0.18498442307192445,10.100813645510552,0.07764483324705722,4.030784819749491,0.27636306607654865,6.261277061241014,0.4419084766974388,3.275594734236982,0.34519580824960644,7.6218312022915855,0.18280596986865266,9.843819744460859,0.06671448786130198,4.1585853582789785,0.28844987874202893,3.370783475797533,0.4291736488736264,6.232115450853467,0.3393073276206158,5.34982613496014,0.17937328384238604,10.789065064010336,0.07429951140489695,4.539101229130799,0.29040784794935387,5.802319808857726,0.41754027201466803,7.758625240518896,0.3498783093455981,6.491963758623621,0.1817851252537208,11.009687533916527,0.07468961522051316,6.153537660578902,0.29052498020208134,4.6910181852332276,0.4340077370807264,6.415818347135581,0.33301793939515956,7.688722194302946,10.733300298456346,5.290022516691454,4.649838810082428,6.273806495846186,6.947911174023703,0.18204699302873006,0.07256984544003306,0.28146982180954894,0.42904401557885236,0.3401386649022866
D,0.03254925601308805,-16.893374979420255,0.2433514906554156,-9.628927165232563,0.06940296697595823,-12.835346572136922,0.054882483968660085,-9.18507610945093,0.09352700227272147,-10.029955186093536,0.030935239247002026,-18.178854864999956,0.23824912943781956,-9.291740792532929,0.06993100950304477,-14.132444964154539,0.05525644581015843,-10.670210294619771,0.09034605405729006,-10.403018038095631,0.03313006021942285,-17.048340652076668,0.23628069060705895,-7.64838019151425,0.0695365563600301,-13.954073422190616,0.056420010604000634,-10.632697929208542,0.09836673633164532,-11.406969908151655,0.03329416185722558,-14.114067075647371,0.2424034552175026,-9.463031639348987,0.07538592428274046,-12.852622038472223,0.05745100946266969,-9.568089003427804,0.09626736806667048,-11.697598486966442,0.032001335271330256,-15.986346848344631,0.25609432925236736,-9.615801848643116,0.06973157263857936,-14.566991523920345,0.0495459096186389,-10.415174113719333,0.09132062412130289,-10.054582835080174,0.03237039385346975,-16.423262907098138,0.2268310403289401,-9.154482839995985,0.06669359916293532,-13.678988103373944,0.06104639396307153,-11.656558143032006,0.09278633461339432,-10.114840835506005,0.030276612729496652,-17.11557011064059,0.24164793084464842,-9.634061051812466,0.08156112370643125,-12.388662673126442,0.05743067144283986,-10.242163134985315,0.09314195546742457,-11.343132236338137,0.03670982375191384,-16.232737960636687,0.23078087024609983,-9.712157314437581,0.07397186583002956,-14.90211310915536,0.05128242914136107,-10.72528464439928,0.09265622418453053,-10.914196465788155,0.03195007981254888,-15.205569970275752,0.24131069133929925,-9.295581001200667,0.0667059828583369,-12.994852542927555,0.0555728388749723,-10.47292886165663,0.09220197730076092,-9.30066679715789,0.033729062666515056,-14.846458670882479,0.2464643895551397,-9.376974250379575,0.06848432560531822,-13.352379597829614,0.05933733147852416,-11.534425368709996,0.09387232977031956,-10.583785841813599,-16.204458404002253,-9.282113809509811,-13.565847454728758,-10.51026076032096,-10.584874663099122,0.032694602542201294,0.24034140174842916,0.07114049269234042,0.05582255243648967,0.09344866061860602
STL,0.021527001606660587,-0.07771456548625122,0.0045099482702670845,0.7403549042869901,0.004372141842680538,-0.3333288749239831,0.013184647934646828,0.4144451473655406,0.0052332163421518465,-0.5204421437988802,0.023738958409218497,-0.20182645079071015,0.004338238514691678,-0.05524999681741939,0.004955775717993766,-0.08987318116587772,0.012952842176263841,-0.7977033691784147,0.008408110106947468,-0.5849116661619358,0.023257304709711452,-0.30174911486450884,0.00425972456737776,0.44693477388766256,0.005744372542290038,-0.8513327775685114,0.014390623874113162,0.2564625978344707,0.006648451067063557,-0.4389911521552323,0.023565754287129873,0.1591788577689463,0.004810426816248469,0.3714158659889192,0.004863899775657661,-0.6245999531846077,0.01314438702047632,-0.010754446080796676,0.0042717869997693425,-0.08988712991420855,0.023854741236168542,0.07960437769232143,0.004329818097412408,0.07289219061283694,0.0045377328449306585,-0.3463614683276004,0.012800509692277117,0.09586380517468618,0.007944060458938864,-0.4081399553909364,0.024204273741745705,0.007596665063248603,0.004865763697744995,1.1106848804525173,0.004784733760186215,-0.2716118688432995,0.01257583651797059,-0.37249951029359674,0.005200612589932149,-0.604857425572569,0.0220179347730222,-0.054055961749373826,0.004089391535021502,-0.26662235565027814,0.004906782893682207,-0.6647841178282781,0.013430669477087293,-0.315179491120988,0.005422740174886718,0.23797031753615416,0.02200020819298647,0.040258796405154285,0.0045600232389654645,0.22832547250918306,0.005542327192092953,-0.40969668554251315,0.012214744951144049,0.8416693327515484,0.007916626330650097,-0.6075812234357996,0.021859060860744933,-0.08907682501485636,0.005047610610540193,0.15808052892520397,0.0049099233759561465,-0.48524470283292254,0.011966091971486,0.4523100323404263,0.00560080653136793,-0.7481494806834831,0.024506366757638,-0.15307353793828438,0.004134873488482907,0.6258309752470288,0.0043312221679970035,-0.44421174403546937,0.013226323463988542,0.17016073344426585,0.005105857663136586,-0.6137096383356515,-0.05908577589143142,0.34326472394426455,-0.4521045374253063,0.0734774832237142,-0.43786994979125426,0.023053160457502626,0.004494581883675246,0.004894891211346718,0.012988667707945375,0.006175226826484456
KS%,0.01980626014704375,13.028500973493546,0.007378284596220813,-0.05735052467204628,0.010820336082929358,5.354418159865643,0.00415351403635819,5.1126726564559375,0.010208381384565689,2.608194990422181,0.017637706044687135,12.402274989030127,0.008057230041041261,0.5914036832321065,0.010492716880629707,2.0631505127709153,0.004185803611813825,5.484546744409303,0.010055822254129385,3.15324279539179,0.01656508031005398,12.675555027127697,0.007624735181366643,3.1910565924208516,0.010327409719671863,0.07498340919710132,0.004788945744152938,8.233149617669778,0.011275356130414338,6.05355162212373,0.017343967142550407,7.7674938402772735,0.007861386182953959,-0.6014181227946075,0.011448953125451307,-0.4418154662894707,0.0037126098724637796,7.039552947352565,0.01036416375913537,2.4935417475743185,0.019729502869511615,12.13351190869931,0.008172817237518896,0.03862397082471495,0.010537923114201127,0.9464009615510958,0.004596703125001209,7.486962182534758,0.009528414356083632,0.8086784795588415,0.01876740723683086,10.890096057564095,0.007381904412690067,-1.7967943071963486,0.010820133958500858,-1.9721820170045805,0.0048332835956451554,11.94882265323026,0.010252845729237547,0.2565060510471242,0.01680039191690925,10.689055867552861,0.006775171464646451,-1.1070456948711003,0.012168247325289075,3.534720788393059,0.004214623365130452,2.490520700433894,0.010137176897929506,0.7012799117168897,0.015111944105926417,11.236673798029232,0.007242461021697612,-1.552055987490794,0.010677766853960668,0.20971887054326277,0.004637890266298212,6.94108024262184,0.010145374675654817,0.8402013311340665,0.018515081346556765,9.159813529531897,0.00825743756669445,-0.5808842018034445,0.010918836880545915,0.7527829150915204,0.004834973499308782,8.67576669252755,0.010090590217517374,3.2572188491627445,0.018048167169228576,13.028336432637992,0.007726978402330377,0.3104477441008278,0.009782677506334941,2.486519814296439,0.0050797640442128795,8.05654796333277,0.009834139930927391,3.154265767177389,11.301131242394405,-0.156401684824984,1.3008697948414987,7.146962240056865,2.3326681545309076,0.01783255082892988,0.007647840610716053,0.010799500144751482,0.0045038111160385415,0.010189226533559506
KP,0.013311409562368605,-7.530715529360343,0.007371184593995413,-0.730780921465378,0.008579772241068002,-6.074852383786194,0.01826487561298965,-2.656962097175558,0.023292332244167248,-6.743041559788927,0.012496699409727176,-6.889804538540959,0.007549775934460595,-2.261235428704687,0.008022919777988927,-4.2708213138746185,0.019302896199479058,-1.1574479756189113,0.02376439060729383,-5.88708405724869,0.012516899839501387,-7.2253308928532824,0.007783808359787797,-4.011480464774486,0.008191110818668176,-2.6771939273031156,0.017194920240915793,-2.7535109507916338,0.021119355520620192,-9.310865645190209,0.01242524539168712,-6.495350192846555,0.007221905612604376,-1.1314811380167449,0.0074656602774762675,-2.881133800315471,0.020390680229130684,-1.7287601820009346,0.022924571305068094,-5.618248791813296,0.011550584690022426,-6.297568478509274,0.0070844307860261704,-1.5177101072458035,0.007763230457359971,-3.6722530387109558,0.020364753008178967,-2.46984894721087,0.023200612889644926,-4.682810589450472,0.014295633798393796,-8.071695914034475,0.007095425197448056,-1.0500972723420203,0.007890691825524812,-2.2112710526557064,0.0189265474419229,-3.4734648849240237,0.02197645540694158,-4.434966730744401,0.012640756779877237,-7.529973484408798,0.0076983311780624685,-1.1382962735995483,0.007525854954715418,-4.868282330751038,0.018478638672449324,-0.9231572294652983,0.024072110827682815,-6.230557975050798,0.012334641769751811,-6.701997990875874,0.006944022459584571,-1.1583267532516797,0.007641045569219216,-3.1267500714418093,0.019115976940556827,-2.3642358557344103,0.02465563486357583,-4.400999090809104,0.012274549942458222,-6.955889034152421,0.007112771458032766,-1.329336144968556,0.007972579716370854,-3.267445812397382,0.018009814014243963,-3.230228353232973,0.022161841053783302,-6.011265883419956,0.013881555167533062,-6.640746769965063,0.007175662532247337,-2.1423157545139766,0.006960587029924556,-4.039618363404452,0.019275439742502818,-2.500407624657921,0.02313990378338658,-6.157835768915301,-7.033907282554705,-1.6471060258882884,-3.7089622094640737,-2.3258024100812538,-5.947767609243114,0.012772797635132085,0.007303731811224956,0.0078013452668316205,0.018932454210236996,0.02303072085021644
K,0.013192449249356019,-11.55291784367548,0.2784670614353337,1.3024295913671136,0.19756142300627655,-7.0289717368844,0.00683013358573882,-0.8949424513415947,0.054636173036698085,-0.7980793298551969,0.012640619922601815,-10.314632818202895,0.27705791488263365,1.4260181548171715,0.20300508490783445,-3.279523194924206,0.006603588372206131,-0.29508201482713137,0.057150314419994366,-0.942951249441832,0.013691251093873893,-8.096081988258717,0.27159990236398035,0.4017871128188748,0.21105457449534853,-2.435207835378185,0.005761010960180857,-1.5317384408366976,0.06104057319621065,-1.54737913927254,0.01303708062936302,-4.706172650875004,0.27581376297204446,2.236462406297857,0.20814640734218245,0.0353119915059561,0.006786596255030094,-0.13370872523588861,0.0664787845068368,0.4494578374747489,0.011418079205721608,-10.1539035157502,0.26890730714740596,0.4707200172609767,0.22154709872852757,-3.0286564835302165,0.007375696068584832,-0.8935669301370641,0.05362757419250487,1.5159607707176077,0.013775788842676768,-6.157378449488314,0.28420994639288744,2.406499771427722,0.19663145819651298,-2.040611232179109,0.005528445862268782,-4.365702873504952,0.0580526256716508,1.6705557166438245,0.014976226874197677,-8.834517493593353,0.2796382638667859,2.656910344317991,0.21681277334280144,-3.4959540250882197,0.005718745534182394,1.2465946720879462,0.05533816671371832,3.773461384651899,0.012148684107219324,-9.155324273645794,0.2961669511608701,2.951402257094042,0.2060733604839485,-2.3707105735884433,0.005984973188234631,-1.035378336753955,0.058502253837107825,1.507494671619992,0.013370965827591437,-7.934215381713436,0.2785388827743639,1.8917503755500373,0.21480367566189093,-1.957402480698645,0.007380513644105948,-1.4866532932988,0.05373290640572154,-1.0548347844612103,0.012513862964551013,-11.011786022861681,0.28769456915390945,1.2334132230546633,0.20112207839260052,-3.0810006416649696,0.008138750632305826,-1.5889111674762848,0.06290320808638492,-1.0667995498872918,-8.791693043806486,1.697739325400645,-2.868272621243044,-1.0979089561324422,0.3506886328190001,0.013076500871715257,0.2798094562150215,0.20767579345579237,0.0066108454102838336,0.05814625800668283
CTR%,0.01316734740026221,0.6152245204460791,0.006935318542445577,2.042430100193232,0.009531518069915661,2.0765800011818154,0.006088405264834307,-0.40436002473818794,0.009543027006005551,0.8837980074363206,0.012121416074525012,0.7359515006513729,0.007149629574103611,2.0430282925602756,0.008525076664542396,1.1480337386710215,0.006108910835306267,-0.08563264239267325,0.010315256346504487,0.16116404545762064,0.011983458531863401,0.7915287637553894,0.006412595817126953,0.7246161118898359,0.00876725616929806,1.2688615054914851,0.00554549659719879,-0.5115059178756288,0.00963538571683222,0.6958136607617729,0.012996605244960017,0.344598974369835,0.007239480570507512,1.6709361203967523,0.007713863563457079,0.8416788178729943,0.006204084326772054,-0.3275804907442917,0.009018658809266845,0.8238977878960884,0.012907870315059793,1.2287215648593353,0.007295819556834538,2.253662205818518,0.008488543534277013,2.165867599879627,0.006711707417088365,-1.3104883118299633,0.008992893108411464,1.3914541737636144,0.013061222482545494,0.14846811873592217,0.007804375266026399,2.144269127613801,0.008733026664783875,1.8505921263632148,0.006276564011203245,-0.5380564895055127,0.011740326930674514,0.3190521546283358,0.011668670434006817,-0.24484090951649196,0.007724424758961581,2.262499652409917,0.008787110641407823,0.8187441184818397,0.006276934080139494,-0.6093251775490116,0.009752638357536307,0.2973870341026392,0.014019890170886186,0.700465782934939,0.00722360516302123,1.9060178860736248,0.008201801851985522,1.9300831458491836,0.00567455523884769,-0.5035070370608974,0.009836307677502277,0.7131763228961409,0.013772579000626782,1.2094524396627728,0.007223173903283042,2.3112732921482357,0.008820787037983465,1.509615745788023,0.006034307969940497,-0.6890487378614788,0.009319373694261461,0.802670479569443,0.01328131140998098,0.9432842865929465,0.006972153384229488,1.8422611006359482,0.008895692104329472,1.2920370381222377,0.006114518401059233,-0.26763747334971694,0.00879921028815323,0.44232348465216886,0.6472855042492102,1.9200993889740139,1.4902093837701442,-0.5247142302907363,0.6530737151164144,0.01289803710647167,0.007198057653653993,0.008646467630198036,0.006103548414238993,0.009695307793514834
CSD10,0.01250724941017129,-0.05091452942656466,0.013476768897092274,4.0734085023114375,0.00926915290115022,3.991729942364643,0.011500482419639047,3.209890233728442,0.006948654035637154,-1.0239262653710879,0.012824725962410381,0.5834874986621658,0.015325116443620848,3.1508425430844333,0.008233900289212033,4.839050091362998,0.013345316675986648,7.1337117845839435,0.0075288487880341565,-0.8723247022099444,0.012914961888284235,-1.2568972097779243,0.015060126711281844,3.1755559429697895,0.00854839996466851,4.8078507048121555,0.012400116206679333,5.141032899521164,0.007502508047251004,-1.3002631497655448,0.011844279262056808,0.14575532045257936,0.011910850786444016,3.287520603952135,0.008181370426474793,4.132050754333724,0.012444621105312397,3.1154649875158698,0.008157556281049179,1.3866855213682645,0.012672994072001561,0.33579979654121256,0.014355125179430966,3.4110019648265295,0.009248201341130498,3.6415206100062116,0.012446605456689842,3.929014426531191,0.006923207842815318,0.8793815391044495,0.011479110066800984,0.2735025579755658,0.013750868721784546,3.3746747938197736,0.010709151990359425,3.3771205636780595,0.012396194165956017,5.8941472060069655,0.006573922713399495,-0.8251050337530149,0.013473471790267765,0.492917397493981,0.012649342592263161,4.158643025953463,0.010767689515932124,4.768111158945673,0.013351339853597528,4.687989414842574,0.007192476310682153,1.5138495528387654,0.013015383421205739,0.23240772843508062,0.013250034296855985,3.4383446151579546,0.00941242272909315,3.9951719283865765,0.01300720089073765,4.107638982545553,0.006449834384257288,-1.7281364556868963,0.014102249827736344,-0.06968826933066306,0.013814728997365246,3.4109928707404027,0.009419222315977116,3.915261128829695,0.01251472109502857,3.6787418216413053,0.006494002298478141,-0.41618867461804815,0.011818601482489125,0.2919494561017426,0.013415042187643786,3.4979271366409637,0.009484048403589376,3.6271625017581814,0.010598693293559919,5.842063079080542,0.006755850523598836,-0.911611404952403,0.09783197471271757,3.4978911999456885,4.1095029384477915,4.6739694835997545,-0.329763907304546,0.012665302718342425,0.013700800481378266,0.009327355987758724,0.012400529116318695,0.007052686122520272
WCPM,0.010364115626803814,-0.46991688844002377,0.006256546391801229,-1.252107917866812,0.032749800863119696,-0.7558860885069036,0.01883596366933211,-1.4270267876652107,0.018641588180504494,1.5097050348588312,0.01089419683309732,-0.10605071311510639,0.005519861661164742,-1.3072498821874232,0.033715959827312195,-1.0118710619589766,0.020020872697976606,-1.6839783464508113,0.020544169536994665,1.0029650123936218,0.011394379596364905,-1.3061788187638383,0.005326040800870574,-1.2636464030216414,0.034425632750981296,-0.7868037645164634,0.0180599943291482,-0.7406487582718934,0.01822268238369875,1.7059792333320445,0.01086841647773205,-0.4820077310498134,0.0057665027108624554,-1.2128748604532662,0.033955027180002983,-1.0798097587515523,0.01959336827314594,0.08459655907491137,0.019155238036808225,1.1360153869917324,0.01058502629215346,-0.7616642038932583,0.0053115665803663776,-1.4539777226377761,0.030930705655346072,-0.6910369553738831,0.017366978617784728,-1.3341616363757254,0.0169514268594662,1.5019820092923428,0.0099616466125503,-0.9240717922186308,0.0058529844899701455,-1.5264737309905572,0.035223100530436216,-0.23033427558744787,0.018354296020903636,-1.6667314511948401,0.01639234900452233,0.9970082433799398,0.010596784095416428,-0.42756012651637293,0.005394499833507977,-1.0818024218919584,0.03488237651355418,-1.0787210268079273,0.018025157103174892,-1.2674579558192447,0.018307971506428353,0.32142749005004756,0.011258750293029909,-0.847229050611381,0.004792396588815234,-1.173995548831675,0.033277396789244316,-0.9944860685939263,0.018048269667540286,-0.8042778177961842,0.016716679189120898,1.0450366693765283,0.0103638009195238,-0.826501034898305,0.0053784478021282,-0.8732167374213144,0.03153093436681621,-0.5380821943254369,0.021281190378545773,-1.5886246255146024,0.016276345699323944,1.6549134064347466,0.010263758317820249,-0.3744973491769694,0.0054073473855519106,-0.932153883854344,0.03047983546020683,-0.7689775186482604,0.018328859322365602,-1.49597086359518,0.01885732575181164,0.7368447174080656,-0.65256777086837,-1.2077499109156768,-0.7936008713070779,-1.1924281683608782,1.16118772035179,0.010655087506449222,0.005500619424503883,0.03311707699370199,0.01879149500799178,0.01800657761486795
